Company Name,Industry,Symbol,Series,ISIN Code,Ticker
Aarti Drugs Ltd.,Healthcare,AARTIDRUGS,EQ,INE767A01016,AARTIDRUGS.NS
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024,ABSLAMC.NS
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM,EQ,INE208C01025,AEGISCHEM.NS
Aether Industries Ltd.,Chemicals,AETHER,EQ,INE0BWX01014,AETHER.NS
Allcargo Logistics Ltd.,Services,ALLCARGO,EQ,INE418H01029,ALLCARGO.NS
Alok Industries Ltd.,Textiles,ALOKINDS,BE,INE270A01029,ALOKINDS.NS
Amara Raja Batteries Ltd.,Automobile and Auto Components,AMARAJABAT,EQ,INE885A01032,AMARAJABAT.NS
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015,AMBER.NS
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013,ANGELONE.NS
Anupam Rasayan India Ltd.,Chemicals,ANURAS,EQ,INE930P01018,ANURAS.NS
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022,APOLLOTYRE.NS
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025,APTUS.NS
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020,ASAHIINDIA.NS
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019,ASTERDM.NS
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,EQ,INE203A01020,ASTRAZEN.NS
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED,EQ,INE871C01038,AVANTIFEED.NS
BASF India Ltd.,Chemicals,BASF,EQ,INE373A01013,BASF.NS
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025,BSE.NS
Bajaj Electricals Ltd,Consumer Durables,BAJAJELEC,EQ,INE193E01025,BAJAJELEC.NS
